00033	SEAGRAMS 7			50ML	008700000776	120	2.66	0.00	1	2.66	0	8700000776	SPIRITS	SPIRITS	50 ML MINIS	CRO	0.00	Y																				0.0143		0.00														0			0			AbDILOSW	0	08700000776	2015-10-19				0	9.2500											
00034	AMSTERDAM VODKA BERRY			EACH	008500002038	1	1.83	0.00	1	0.00	0	8500002038	SPIRITS	SPIRITS	VODKA-FLAVORED	UNK	0.00	Y																				1.1000		0.00														0			0			AbDILOSW	0	08500002038	2015-10-19				0	9.2500											
00035	E&J BRANDY VSOP			100ML	008500000108	48	2.41	0.00	1	2.41	0	8500000108	SPIRITS	SPIRITS	BRANDY	UNK	0.00	Y																				1.7200		0.00														0			0			AbDILOSW	0	08500000108	2015-10-19				2	9.2500											
00036	JIM BEAM APPLE 100 ML			EACH	008068600660	48	0.99	0.00	1	1.99	-148	8068600660	SPIRITS	SPIRITS	WHISKEY-FLAVORED	ATH	0.00	Y																				1.4100		0.00														0			-148			AbDILOSW	0	080686006602	2015-10-19				0	9.2500											
00037	RUM CHATA 100 ML			EACH	089035500108	1	2.25	0.00	1	0.00	-5	9035500108	SPIRITS	SPIRITS	LIQUERS	GLA	0.00	Y																				1.7500		0.00														0			-5			AbDILOSW	0	890355001087	2015-10-19				0	9.2500											
00038	1800 SILVER 100			EACH	081153801011	1	4.99	0.00	1	4.99	0	1153801011	SPIRITS	SPIRITS	TEQUILA	UNK	0.00	Y																				2.7700		0.00														0			0			AbDILOSW	0	81153801011	2015-10-19				0	9.2500											
00039	AMSTERDAM VODKA PEACH			EACH	008500002041	1	1.83	0.00	1	0.00	0	8500002041	SPIRITS	SPIRITS	VODKA-FLAVORED	UNK	0.00	Y																				1.1000		0.00														0			0			AbDILOSW	0	08500002041	2015-10-19				0	9.2500											
00040	EVAN WILLIAMS			EACH	009674902174	1	1.83	0.00	1	1.83	-1	9674902174	SPIRITS	SPIRITS	SPIRITS WHISKEY	UNK	0.00	Y																				1.4100		0.00														0			-1			AbDILOSW	0	09674902174	2015-10-19				0	9.2500											
00041	SEAGRAMS GIN			EACH	008043240120	1	2.06	0.00	1	2.06	0	8700000763	SPIRITS	SPIRITS	GIN	UNK	0.00	Y																				1.3900		0.00														0			0			AbDILOSW	0	08700000763	2015-10-19				0	9.2500											
00042	AMSTERDAM VODKA			100ML	008500001946	48	2.09	0.00	1	0.00	-4	8500001946	SPIRITS	SPIRITS	SPIRITS VODKA	DEL	0.00	Y																				1.5855		0.00														0			-4			AbDILOSW	0	085000019467	2015-10-19				2	9.2500											
00043	EXCLUSIV VODKA 100 ML			EACH	069973300102	1	1.75	0.00	1	0.00	0	9973300102	SPIRITS	SPIRITS	SPIRITS VODKA	UNK	0.00	Y																				0.0000		0.00														0			0			AbDILOSW	0	69973300102	2015-10-19				0	9.2500											
